"catalogNumber","verbatimContinent","Continent","verbatimWaterBody","Waterbody"
"1071","NA","North America",,
"1072","NA","North America",,
"1073","NA","North America",,
"1063","NA","North America",,
"5727","NA","North America",,
"5728","NA","North America",,
"5726","NA","North America",,
"693","NA","North America",,
"694","NA","North America",,
"695","NA","North America",,
"697","NA","North America",,
"698","NA","North America",,
"699","NA","North America",,
"700","NA","North America",,
"696","NA","North America",,
"3250","NA","North America",,
"3249","NA","North America",,
"3248","NA","North America",,
"2209","NA","North America",,
"2210","NA","North America",,
"2211","NA","North America",,
"629","NA","North America",,
"641","NA","North America",,
"640","NA","North America",,
"639","NA","North America",,
"638","NA","North America",,
"637","NA","North America",,
"625","NA","North America",,
"627","NA","North America",,
"630","NA","North America",,
"628","NA","North America",,
"636","NA","North America",,
"635","NA","North America",,
"626","NA","North America",,
"632","NA","North America",,
"631","NA","North America",,
"633","NA","North America",,
"634","NA","North America",,
"622","NA","North America",,
"623","NA","North America",,
"624","NA","North America",,
"680","NA","North America",,
"679","NA","North America",,
"677","NA","North America",,
"676","NA","North America",,
"675","NA","North America",,
"678","NA","North America",,
"673","NA","North America",,
"681","NA","North America",,
"682","NA","North America",,
"670","NA","North America",,
"671","NA","North America",,
"672","NA","North America",,
"674","NA","North America",,
"669","NA","North America",,
"663","NA","North America",,
"666","NA","North America",,
"665","NA","North America",,
"1075","NA","North America",,
"664","NA","North America",,
"667","NA","North America",,
"668","NA","North America",,
"3328","NA","North America",,
"649","NA","North America",,
"657","NA","North America",,
"642","NA","North America",,
"662","NA","North America",,
"645","NA","North America",,
"644","NA","North America",,
"652","NA","North America",,
"661","NA","North America",,
"647","NA","North America",,
"648","NA","North America",,
"655","NA","North America",,
"643","NA","North America",,
"660","NA","North America",,
"646","NA","North America",,
"651","NA","North America",,
"656","NA","North America",,
"659","NA","North America",,
